"U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3796,0.00032455,0,-1.3458,-1.9007,0,-1.3458,-1.9007,0,-0.88699,1,0.0078,0.12,0.0078,0
2.3802,9.2242e-05,0,-1.3583,-1.9226,0,-1.3583,-1.9226,0,-0.8886,1,0.00785,0.12,0.00785,0
2.3809,-0.00014007,0,-1.3707,-1.9444,0,-1.3707,-1.9444,0,-0.89021,1,0.0079,0.12,0.0079,0
2.3815,-0.00037238,0,-1.3832,-1.9663,0,-1.3832,-1.9663,0,-0.89181,1,0.00795,0.12,0.00795,0
2.3821,-0.00060469,0,-1.3956,-1.9881,0,-1.3956,-1.9881,0,-0.89342,1,0.008,0.12,0.008,0
2.3828,-0.00084541,0,-1.4139,-2.0162,0,-1.4139,-2.0162,0,-0.8952,1,0.00805,0.12,0.00805,0
2.3836,-0.0010861,0,-1.4323,-2.0444,0,-1.4323,-2.0444,0,-0.89698,1,0.0081,0.12,0.0081,0
2.3843,-0.0013269,0,-1.4506,-2.0725,0,-1.4506,-2.0725,0,-0.89876,1,0.00815,0.12,0.00815,0
2.385,-0.0015676,0,-1.4689,-2.1006,0,-1.4689,-2.1006,0,-0.90054,1,0.0082,0.12,0.0082,0
2.3857,-0.0018083,0,-1.4872,-2.1287,0,-1.4872,-2.1287,0,-0.90232,1,0.00825,0.12,0.00825,0
2.3864,-0.002049,0,-1.5055,-2.1568,0,-1.5055,-2.1568,0,-0.9041,1,0.0083,0.12,0.0083,0
2.3872,-0.0022897,0,-1.5238,-2.185,0,-1.5238,-2.185,0,-0.90588,1,0.00835,0.12,0.00835,0
2.3879,-0.0025305,0,-1.5421,-2.2131,0,-1.5421,-2.2131,0,-0.90767,1,0.0084,0.12,0.0084,0
2.3886,-0.0027712,0,-1.5605,-2.2412,0,-1.5605,-2.2412,0,-0.90945,1,0.00845,0.12,0.00845,0
2.3893,-0.0030119,0,-1.5788,-2.2693,0,-1.5788,-2.2693,0,-0.91123,1,0.0085,0.12,0.0085,0
2.3901,-0.0032526,0,-1.5971,-2.2975,0,-1.5971,-2.2975,0,-0.91301,1,0.00855,0.12,0.00855,0
2.3908,-0.0034934,0,-1.6154,-2.3256,0,-1.6154,-2.3256,0,-0.91479,1,0.0086,0.12,0.0086,0
2.3915,-0.0037341,0,-1.6337,-2.3537,0,-1.6337,-2.3537,0,-0.91657,1,0.00865,0.12,0.00865,0
2.3922,-0.0039748,0,-1.652,-2.3818,0,-1.652,-2.3818,0,-0.91835,1,0.0087,0.12,0.0087,0
2.3929,-0.0042155,0,-1.6704,-2.41,0,-1.6704,-2.41,0,-0.92013,1,0.00875,0.12,0.00875,0
2.3937,-0.0044563,0,-1.6887,-2.4381,0,-1.6887,-2.4381,0,-0.92192,1,0.0088,0.12,0.0088,0
2.3944,-0.004697,0,-1.707,-2.4662,0,-1.707,-2.4662,0,-0.9237,1,0.00885,0.12,0.00885,0
2.3951,-0.0049377,0,-1.7253,-2.4943,0,-1.7253,-2.4943,0,-0.92548,1,0.0089,0.12,0.0089,0
2.3958,-0.0051784,0,-1.7436,-2.5224,0,-1.7436,-2.5224,0,-0.92726,1,0.00895,0.12,0.00895,0
2.3965,-0.0054192,0,-1.7619,-2.5506,0,-1.7619,-2.5506,0,-0.92904,1,0.009,0.12,0.009,0
2.3974,-0.0056719,0,-1.7887,-2.5858,0,-1.7887,-2.5858,0,-0.931,1,0.00905,0.12,0.00905,0
2.3982,-0.0059246,0,-1.8155,-2.621,0,-1.8155,-2.621,0,-0.93296,1,0.0091,0.12,0.0091,0
2.3991,-0.0061774,0,-1.8423,-2.6563,0,-1.8423,-2.6563,0,-0.93492,1,0.00915,0.12,0.00915,0
2.3999,-0.0064301,0,-1.8691,-2.6915,0,-1.8691,-2.6915,0,-0.93688,1,0.0092,0.12,0.0092,0
2.4008,-0.0066829,0,-1.8958,-2.7268,0,-1.8958,-2.7268,0,-0.93884,1,0.00925,0.12,0.00925,0
2.4016,-0.0069356,0,-1.9226,-2.762,0,-1.9226,-2.762,0,-0.9408,1,0.0093,0.12,0.0093,0
2.4025,-0.0071884,0,-1.9494,-2.7972,0,-1.9494,-2.7972,0,-0.94276,1,0.00935,0.12,0.00935,0
2.4033,-0.0074411,0,-1.9762,-2.8325,0,-1.9762,-2.8325,0,-0.94472,1,0.0094,0.12,0.0094,0
2.4042,-0.0076938,0,-2.003,-2.8677,0,-2.003,-2.8677,0,-0.94668,1,0.00945,0.12,0.00945,0
2.405,-0.0079466,0,-2.0298,-2.9029,0,-2.0298,-2.9029,0,-0.94864,1,0.0095,0.12,0.0095,0
2.4059,-0.0081993,0,-2.0565,-2.9382,0,-2.0565,-2.9382,0,-0.9506,1,0.00955,0.12,0.00955,0
2.4067,-0.0084521,0,-2.0833,-2.9734,0,-2.0833,-2.9734,0,-0.95256,1,0.0096,0.12,0.0096,0
2.4076,-0.0087048,0,-2.1101,-3.0087,0,-2.1101,-3.0087,0,-0.95452,1,0.00965,0.12,0.00965,0
2.4084,-0.0089576,0,-2.1369,-3.0439,0,-2.1369,-3.0439,0,-0.95648,1,0.0097,0.12,0.0097,0
2.4093,-0.0092103,0,-2.1637,-3.0791,0,-2.1637,-3.0791,0,-0.95844,1,0.00975,0.12,0.00975,0
2.4101,-0.009463,0,-2.1905,-3.1144,0,-2.1905,-3.1144,0,-0.9604,1,0.0098,0.12,0.0098,0
2.411,-0.0097158,0,-2.2172,-3.1496,0,-2.2172,-3.1496,0,-0.96236,1,0.00985,0.12,0.00985,0
2.4118,-0.0099685,0,-2.244,-3.1848,0,-2.244,-3.1848,0,-0.96432,1,0.0099,0.12,0.0099,0
2.4127,-0.010221,0,-2.2708,-3.2201,0,-2.2708,-3.2201,0,-0.96628,1,0.00995,0.12,0.00995,0
2.4135,-0.010474,0,-2.2976,-3.2553,0,-2.2976,-3.2553,0,-0.96824,1,0.01,0.12,0.01,0
2.4146,-0.010753,0,-2.337,-3.3028,0,-2.337,-3.3028,0,-0.97038,1,0.01005,0.12,0.01005,0
2.4157,-0.011031,0,-2.3764,-3.3504,0,-2.3764,-3.3504,0,-0.97252,1,0.0101,0.12,0.0101,0
2.4167,-0.01131,0,-2.4158,-3.3979,0,-2.4158,-3.3979,0,-0.97466,1,0.01015,0.12,0.01015,0
2.4178,-0.011589,0,-2.4552,-3.4454,0,-2.4552,-3.4454,0,-0.9768,1,0.0102,0.12,0.0102,0
2.4188,-0.011867,0,-2.4946,-3.493,0,-2.4946,-3.493,0,-0.97894,1,0.01025,0.12,0.01025,0
2.4199,-0.012146,0,-2.534,-3.5405,0,-2.534,-3.5405,0,-0.98109,1,0.0103,0.12,0.0103,0
2.421,-0.012425,0,-2.5734,-3.588,0,-2.5734,-3.588,0,-0.98323,1,0.01035,0.12,0.01035,0
2.422,-0.012703,0,-2.6128,-3.6356,0,-2.6128,-3.6356,0,-0.98537,1,0.0104,0.12,0.0104,0
2.4231,-0.012982,0,-2.6522,-3.6831,0,-2.6522,-3.6831,0,-0.98751,1,0.01045,0.12,0.01045,0
2.4242,-0.01326,0,-2.6916,-3.7306,0,-2.6916,-3.7306,0,-0.98965,1,0.0105,0.12,0.0105,0
2.4252,-0.013539,0,-2.731,-3.7782,0,-2.731,-3.7782,0,-0.99179,1,0.01055,0.12,0.01055,0
2.4263,-0.013818,0,-2.7704,-3.8257,0,-2.7704,-3.8257,0,-0.99393,1,0.0106,0.12,0.0106,0
2.4274,-0.014096,0,-2.8098,-3.8732,0,-2.8098,-3.8732,0,-0.99607,1,0.01065,0.12,0.01065,0
2.4284,-0.014375,0,-2.8492,-3.9208,0,-2.8492,-3.9208,0,-0.99821,1,0.0107,0.12,0.0107,0
2.4295,-0.014654,0,-2.8886,-3.9683,0,-2.8886,-3.9683,0,-1.0004,1,0.01075,0.12,0.01075,0
2.4305,-0.014932,0,-2.928,-4.0158,0,-2.928,-4.0158,0,-1.0025,1,0.0108,0.12,0.0108,0
2.4316,-0.015211,0,-2.9674,-4.0634,0,-2.9674,-4.0634,0,-1.0046,1,0.01085,0.12,0.01085,0
2.4327,-0.01549,0,-3.0068,-4.1109,0,-3.0068,-4.1109,0,-1.0068,1,0.0109,0.12,0.0109,0
2.4337,-0.015768,0,-3.0462,-4.1584,0,-3.0462,-4.1584,0,-1.0089,1,0.01095,0.12,0.01095,0
